Alabama,Albertville Farmers Market,116 Main Street,Albertville,35950,-86.20922089,34.26789093,
Alabama,Alexander City Downtown Market,Braod Street,Alexander City,35010,,,
Alabama,Andalusia Power Pleant Farmers Market,256 Historic Central Street,Andalusia,36420,-86.49241638,31.29985619,
Alabama,Anniston Downtown Farmers Market,14th & Gurnee,Anniston,36201,-85.83199444,33.66251111,"W 14th St. and Gurnee Ave., Anniston, AL 36201"
Alabama,Athens Farmers Market,"409 Green Street, West",Athens,35612,-86.97349548,34.8012619,
Alabama,Atmore Farmers Market,201 East Louisville Avenue,Atmore,36504,,,
Alabama,Attalla Downtown Farmers Market,5Th Avenue N.W. ,Attalla,39554,,,
Alabama,AUM Farmers' Market,7400 East Drive,Montgomery,36117,-86.17427,32.36735,
Alabama,Barbour County Farmers Market,241 Broad Street,Eufaula,36072,-85.14312744,31.89286232,
Alabama,Bibb County Farmers Market,155 Birmingham Highway,Centreville,35042,,,
Alabama,Blount County Farmers Market,500 New Street,Oneonta,35121,-86.46905,33.9466,
Alabama,Boaz Farmers Market,108 Line Street,Boaz,35957,-86.16209412,34.19602585,
Alabama,Brewton Farmers Market,Between Mildred & Lee Streets,Brewton,36427,-87.02746582,31.14987564,
Alabama,Bridge Street Farmers Market,"340 The Bridge Street, #206",Huntsville,35804,-86.67450278,34.71744167,"Bridge Street Town Center, 340 The Bridge Street, Huntsville, AL, 35806"
Alabama,Bullock County Farmers Market,Union Springs Nutrition Site,Union Springs,36089,-85.71838889,32.145175,"Union Springs Nutrition Site,Union Springs,Alabama,36089"
Alabama,Butler County Farmers Market,Beeland Park,Greenville,36037,-86.62064362,31.81740952,
Alabama,Butler Walkabout Farmers Market,400 West Pushmatha Street,Butler,36904,,,
Alabama,Calera Farmers Market,"9758 Hwy 25, Calera, Al 35040",Calera,35040,-86.62679444,33.16557778,"9758 Old Hwy. 25, Calera, AL 35040"
Alabama,Calhoun County Farmers Market,1702 Noble Street,Anniston,36202,-85.8299408,33.66639328,
Alabama,Camden Farmers Market,Highway 10 Bypass,Camden,36726,-87.30341339,32.00514221,
Alabama,Center Point Farmer's Market,2209 Center Point Parkway,Center Point,35215,,,
Alabama,Cherokee County Farmers Market,635 Amory Road,Centre,35960,,,
Alabama,Chicago Street Farmers Market,125 East Laurel Ave.,Foley,36535,-87.68331111,30.406575,"125 E Laurel Ave., Foley, AL 36535"
